seed_ID,ep_reward_pw1,ep_reward_pw2,ep_reward_pw3,ep_reward_pw4,ep_reward_pw5
59,-366.8057171058704,-689.5204801880624,-26.0,-1081.973313196241,-26.0
60,-276.9062916771496,-532.067685580091,-532.067685580091,-277.9062916771496,-1369.8310002905328
61,-498.34966155190824,-1608.0,-1101.014139735152,-498.34966155190824,-500.34966155190824
62,-2802.9314164368943,-173.29735575830364,-30.0,-1132.334800394504,-168.29735575830364
63,-34.0,-1576.3511115095748,-34.0,-34.0,-1307.4301889292894
64,-1694.828527428731,-25.0,-948.0559073201493,-30.0,-946.0559073201493
65,-1655.6505841996302,-1384.2591085485928,-47.0,-30.0,-1804.9326101964775
66,-226.0,-112.0,-919.0,-30.0,-919.0
67,-904.4539612123932,-1307.3776731192486,-32.0,-30.0,-1467.0
68,-26.0,-363.76670128666876,-23.0,-1462.6810408456624,-2216.681040845662
69,-284.75119661501014,-321.75119661501014,-25.0,-747.2831294282872,-752.2831294282872
70,-26.0,-923.5286870400764,-245.47895161997803,-939.6349306200568,-289.47895161997803
71,-1010.0,-9968.513848678753,-1187.4388946616077,-462.63955014716635,-25.0
72,-26.0,-708.8826533529316,-639.078374141732,-2021.078374141732,-950.3302446998415
73,-478.0,-26.0,-26.0,-29.0,-27.0
74,-27.0,-607.0,-268.0,-1195.0,-1142.2182240172808
75,-28.0,-32.0,-907.7211118091317,-766.0170116520604,-26.0
76,-577.380377301461,-3619.208557263314,-1743.924499192475,-960.2767600697646,-1664.551283660256
77,-375.84637208755964,-914.7638000624386,-133.0,-984.0,-27.0
78,-246.1204278576496,-25.0,-246.1204278576496,-23.0,-687.9353777361706
79,-3371.0,-1907.0178075467222,-27.0,-26.0,-2105.9739386408532
80,-462.6441029885482,-29.0,-855.0,-27.0,-484.0
81,-1428.2717055259707,-51.0,-31.0,-24.0,-24.0
82,-2017.144450626526,-103.0,-26.0,-1295.3197260599238,-782.0
83,-611.0,-937.5504464834106,-939.5504464834106,-27.0,-25.0
84,-2049.1452969236198,-1989.441373522207,-1455.403581257961,-719.0,-784.0
85,-28.0,-72.0,-31.0,-27.0,-858.0
86,-26.0,-245.80531239874486,-48.0,-956.8554988560661,-25.0
87,-39845.885393437646,-35724.52838550638,-28.0,-26.0,-26.0
88,-29.0,-52.0,-780.8085070476067,-27.0,-27.0
89,-1729.7048373029468,-62.0,-245.22933682191322,-692.0,-29.0
90,-701.7486772880702,-1888.0061029071537,-248.20137415720512,-27.0,-947.5405251415475
91,-933.0,-487.0,-592.1181433953544,-731.7892700187804,-1405.3706957493243
92,-62.0,-295.4252813876125,-28.0,-27.0,-1118.8226306744773
93,-257.1602276465839,-61.0,-726.2947588920177,-24.0,-445.4553911052594
94,-14617.912824480796,-1150.3533051553745,-708.0,-767.0,-2792.0
95,-27.0,-728.7107731757574,-27.0,-28.0,-27.0
96,-97.0,-24.0,-1768.1888390558092,-29.0,-34.0
97,-97.0,-96.0,-29.0,-30.0,-3820.819979417157
98,-687.8372470998984,-687.8372470998984,-24.0,-27.0,-383.1594885846846
99,-23.0,-87.0,-83.0,-26.0,-1040.5264388140652
100,-245.56623982547268,-24.0,-24.0,-499.8585653576441,-246.56623982547268
